Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.11     0.00     2880     0.00     0.00  std::operator!=(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)
  0.00      0.11     0.00     2517     0.00     0.00  Point::Point()
  0.00      0.11     0.00     2496     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.11     0.00     2496     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00      0.11     0.00     2492     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.11     0.00     2492     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      0.11     0.00     2441     0.00     0.01  Person::prob_calculator(double, int)
  0.00      0.11     0.00     2441     0.00     0.00  Person::gen_prob()
  0.00      0.11     0.00     1522     0.00     0.00  Person* std::__addressof<Person>(Person&)
  0.00      0.11     0.00     1521     0.00     0.00  Person const& std::forward<Person const&>(std::remove_reference<Person const&>::type&)
  0.00      0.11     0.00     1475     0.00     0.00  Person::set_latent()
  0.00      0.11     0.00     1475     0.00     0.00  Person::get_infected(int)
  0.00      0.11     0.00     1440     0.00     0.00  matplotlibcpp::plot(std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&)
  0.00      0.11     0.00     1440     0.00     0.00  bool matplotlibcpp::plot<double>(std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&)
